question,bloom_level
Write a short note on land use zoning and mention the requirements of each.,Apply
Define instructional materials based on your understanding. ,Remember
"Discuss the principles of identity and access management (IAM) systems, explaining their role in controlling user access to resources.",Understand
Name TWO (2) types of laboratory tests. ,Remember
Can you solve a complex math problem using the concepts of calculus?,Apply
Restate the main arguments presented in the debate.,Remember
"Question:
Consider a scenario where a hotel management system stores information about guests, rooms, and bookings. 

a) Retrieve the guest's name and phone number who made a booking for a 'Deluxe' room for a duration of 2 days.",Remember
Discuss in detail Proctor needle in field compaction control.,Understand
How can you experiment to investigate the effects of different incentives on employee productivity?,Understand
Explain error handling during file operation.,Understand
Explain the importance of project management and its objectives?,Understand
Find inverse of matrix using Gauss Jordan method.,Understand
"Compare the features and performance of different propulsion systems (e.g., piston engine, gas turbine, electric motor) in aircraft and automotive applications.",Analyze
Modify the design of a website to enhance user experience.,Apply
"A renewable energy company is evaluating the efficiency of smart grid technology for optimizing energy distribution and consumption. Critically analyze the performance of smart grid algorithms, including demand response, energy forecasting, and distributed energy resource management. Recommend optimization strategies to minimize energy losses and maximize renewable energy integration in the grid.",Analyze
Evaluate the reliability and fault tolerance of different RAID (Redundant Array of Independent Disks) configurations for data storage in enterprise environments.,Evaluate
Each conductor of 3 phase line is suspended by 4 suspension insulators.,Understand
Write the JavaScript code to create Login page Form.,Create
Discuss the errors in wheatstone bridge along with limitations.,Understand
Identify TWO (2) perspectives that are able to explain the origin of prejudice. ,Remember
Compare and contrast our school to other communities.,Analyze
What is the principle behind natural selection in evolution?,Remember
Discriminate between two conflicting viewpoints on artificial intelligence.,Understand
State four attributes of well engineered software.,Remember
"What are the key aspects to consider during requirement analysis in the context of designing a database system for a university's student information management system? Provide examples of the types of data that should be stored in the database, applications that need to be developed, and operations that must be supported.",Create
Give an example of using sociological concepts to analyze the role of media in shaping public opinion.,Analyze
Explain any three sheet metal working operations with their working.,Understand
Criticize the fairness and transparency of traffic management policies implemented by internet service providers (ISPs) for bandwidth allocation.,Understand
State performance parameters of transmission line hence explain how ABCD constants are useful for determining these parameters.,Remember
Obtain the line of Regression of y on x for the following data.,Understand
"Plan a sustainable transportation system for a city that integrates public transit, cycling infrastructure, and electric vehicle charging stations to reduce traffic congestion and emissions.",Understand
Apply the theories of cognitive psychology to design effective learning materials.,Apply
Describe the feeling of nostalgia.,Understand
The crank of an engine is 200 mm long and the ratio of connecting rod length to the crank radius is 4.,Understand
Apply principles of psychology to solve a cognitive puzzle.,Apply
Assess the efficiency of a blockchain-based smart contract platform for automating business processes and transactions.,Evaluate
"With suitable examples, briefly discuss the importance of soil aeration.",Understand
Explain rate method for control of corrosion.,Understand
List and explain various features of virtual 8086 Mode.,Remember
Evaluate the impact of social media on mental health.,Evaluate
Why surge tanks are used in hydro power plant?,Apply
Design a strip layout for manufacturing a steel component as shown in figure.,Create
"Suppose you're tasked with implementing a data backup strategy for a large enterprise. Describe the factors you would consider in choosing between incremental backups, differential backups, and full backups for different types of data.",Understand
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluate
Discuss in brief direct cost and indirect cost.,Understand
Analyze the ethical implications of using facial recognition technology for law enforcement and surveillance purposes.,Analyze
Find Y parameters or the Network Shown.,Understand
"Explain the role and functionality of a Type 2 native API driver in the context of Database Management Systems. Provide a real-world scenario where the use of a Type 2 driver would be beneficial. Include the following sub-parts:

a) Define a Type 2 native API driver and explain how it differs from other types of JDBC drivers.
b) Describe the process by which JDBC API calls are converted into native C/C++ API calls in a Type 2 driver.
c) Discuss the significance of installing vendor-specific drivers on client machines in the context of database connectivity.",Remember
Can you identify the dependencies between different factors in a complex economic model?,Remember
Explain process of perlite formation from austenite?,Understand
"Question:
In the context of a university database system, explain the importance of completing the following tasks by next week:
a) Trying out the self-test questions available on the course website.
b) Participating in the tutorial session and preparing answers to bring to class.
c) Answering the questions provided at the end of Chapter 2 in the textbook ""Database Management Systems"" by Ramakrishnan & Gehrke. Provide examples to support your explanation.",Understand
"""Portfolio management strategies are different based on the investor's risk preferences and expected return"". Based on above statement, explain TWO (2) major portfolio management strategies. ",Remember
Determine the fourier series for the signal with the periodic wave as shown in fig.,Understand
What are the measure of query cost?,Understand
Explain the concept of civil liberties.,Understand
List out FOUR (4) benefits of using RFID.,Remember
Rank the priority of tasks for the project team.,Understand
Explain FOUR (4) process strategies you have learned. ,Understand
Explain Economizer.,Understand
"Skimming and scanning are useful ways to familiarise learners with the reading text. 
Evaluate the role of skimming and scanning in the teaching of reading.",Apply
Justify the funding for a research expedition.,Evaluate
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Understand
What is threaded binary search tree.,Remember
Explain building meterial used for green building.,Understand
"A building design firm is evaluating the energy efficiency of HVAC systems for sustainable building design. Critically analyze the performance of heating, ventilation, and air conditioning (HVAC) systems, including energy consumption, indoor air quality, and thermal comfort. Recommend energy-efficient HVAC technologies and building automation systems to minimize energy costs and environmental impact in commercial and residential buildings.",Analyze
"Compare the various types of modulation formats (e.g., QPSK, QAM, BPSK) in terms of their spectral efficiency and complexity.",Analyze
Prove that ratio  .,Understand
Explain working of flash ADC in details.,Understand
"Question:
Consider a hotel management database where guest information is stored. Provide a SQL query to retrieve the name and phone number of the guest who booked a 'Deluxe' room for a duration of 2 days.

Scenario:
In a hotel management system, the database contains tables for guests, rooms, bookings, and durations of stay. The 'Deluxe' room type is a premium offering with specific amenities. Guests make bookings for various durations based on their preferences and availability.

Write a SQL query to extract the guest's name and phone number who reserved a 'Deluxe' room for a period of 2 days.",Remember
Explain a âCâ function to Insert a number in doubly linked list.,Remember
How to perform loading and unloading of parts in machining operations using robots.,Understand
"In a university database scenario, consider the following question:

a) Identify the course IDs and names of modules offered in year 2 semester 1 that are associated with more than one specialization.",Remember
Provide a tabulated chart of the nutritional content of different fruits.,Understand
Compare the place where the story happened with where you live.,Analyze
Explain with example Forward and Backward Selection method for Subset Selection.,Understand
Tell me about a life lesson you learned from a difficult experience.,Understand
Find the vertical deflection of the joint c of truss as shown in fig.,Understand
How would you classify the different types of natural disasters?,Understand
Describe THREE factors that affect soil aeration. ,Understand
Judge the ethical implications of a business decision.,Evaluate
Explain along with fig Types of Rolling Contact Bearings.,Understand
Can you order these historical speeches to create a narrative of change?,Create
Let's discuss the ethical implications of genetic engineering.,Understand
Explain the followings terms related to refrigeration.,Understand
Find Z parameters of the network shown in figure no.,Understand
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Understand
Critically analyze the challenges and opportunities of implementing Internet of Things (IoT) technologies in industrial automation systems.,Analyze
"University/SLIIT student enrollment system:

Scenario: In the SLIIT student enrollment system, student E8 is trying to determine which department they are enrolled in for the upcoming semester. Additionally, the head of department D4 needs to know the list of employees working under their department for a department meeting. 

Enhanced question: ""In the SLIIT student enrollment system, which department is student E8 enrolled in for the upcoming semester? Furthermore, provide the list of employees who are part of department D4 for the department head's meeting.",Remember
Reproduce the steps to implement a depth-first search algorithm for a graph?,Understand
"Compare the spectral efficiency of different multiple antenna systems (e.g., MIMO, SIMO, MISO) in improving data throughput and reliability in wireless communication.",Analyze
Why not to start dc series motor on no load?,Understand
Explain how competitive and uncompetitive inhibitors will affect enzymatic reactions. ,Understand
"Standardized, reusable containers have fairly obvious benefits in shipping and within a plant. State five (5) purpose of these devices. ",Remember
Comment on cavitation in brief and suggest the method to reduce it.,Understand
Explain the concept of security in SQL Server with a focus on authentication and authorization. Provide examples from a university database scenario to illustrate the application of these concepts.,Understand
"Define the following terms related to relational database design:

a) Superkey
b) Key
c) Candidate Key
d) Primary Key
e) Prime Attribute
f) Nonprime Attribute

Provide an example scenario from a university database where each of these terms would be applicable.",Remember
"Scenario: University/SLIIT student enrollment system

Enhanced question: In the University/SLIIT student enrollment system, a stored procedure named 'insertvalues' is created to add new student records to the database. A CallableStatement is used in the code segment provided to call this stored procedure. Explain a practical scenario in which using CallableStatement for inserting student information would be beneficial in the context of the University/SLIIT student enrollment system.",Remember
Explain Preliminary Geological Investigations carried out for Tunneling.,Understand
How many years does this animal live?,Understand
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Remember
Debate the ethical considerations of using autonomous robots in hazardous industrial environments.,Understand
Describe how pore size can affect water retention in soil. ,Understand
Discriminate between opposing arguments on the benefits of universal healthcare.,Understand
Describe the characteristics of a tropical rainforest.,Understand
"Question:
Explain the process of exporting data from an Excel file to a SQL server database. Provide a step-by-step guide on how to achieve this task. 

Scenario:
Imagine you are working as a data analyst at a university and need to transfer student enrollment data from an Excel spreadsheet to the university's SQL server database for further analysis and reporting.

Guidelines:
a) Describe the initial steps required to initiate the data export process.
b) Outline the specific actions to be taken within the SQL server interface to complete the data export.
c) Explain the importance of ensuring data accuracy and integrity during the export process.",Understand
Support your answers with ONE (1) example from everyday life for ANY TWO factor. ,Understand
When do deadlock happens?,Understand
Examine the historical documents to reconstruct past events.,Analyze
Explain in brief procedure of setting out of tunnel centreline and transferring underground?,Understand
Describe the enzyme characteristics that are desirable in high temperature industrial applications. ,Understand
"Question:
Discuss the four types of JDBC drivers as categorized by Sun Microsystems. Provide a brief explanation of each type and discuss a real-world scenario where each type could be utilized in a database management system.",Understand
State the characteristics of each type of corrosion testing studied,Remember
Enlist profitable applications of CNC Machines.,Remember
"Question:
Explain the situations where views, functions, stored procedures, and triggers are applicable in a relational database management system (RDBMS). Provide a real-world scenario for each of these database objects to illustrate their practical use. Additionally, write syntactically correct SQL statements to create a function, a procedure, and a trigger on an RDBMS to meet specific user requirements.",Remember
Describe THREE (3) advantages of the banker's acceptance towards either exporter or importer. ,Understand
Discuss the significance of hydrophobicity plot in transmembrane protein research. ,Understand
Solve a complex optimization problem related to data compression techniques and evaluate the trade-offs between compression ratio and computational complexity.,Apply
Argue for the advantages of renewable energy sources.,Understand
Differentiate between empirical and theoretical research.,Analyze
Define dryness fraction.,Remember
"Explain the concept of structural analysis, discussing methods such as the force method and the displacement method.",Understand
What is semiconductor memory?,Remember
"Question:
Explain the importance of completing the tutorial, trying out self-test questions on the course website, and reading the relevant chapter in a Database Management Systems course. Provide examples of how these activities contribute to a student's understanding of the course material.",Understand
"Interpret the concept of geotechnical site investigation, discussing methods such as soil sampling, in-situ testing, and geophysical surveys.",Understand
Justify why soil taxonomy is considered as a hierarchical classification system. ,Evaluate
Solve the calculus problem involving integration.,Apply
List FIVE (5) phases of organizational conflict described by Pondy (1967). ,Remember
"Contrast the characteristics of different manufacturing processes (e.g., casting, machining, additive manufacturing) in terms of material removal rate and surface finish quality.",Analyze
"Scenario: In a Hospital patient management system, a new doctor, Dr. Smith (employee E8), has recently joined the hospital. Dr. Smith specializes in cardiology and needs to be assigned to the appropriate department. Additionally, the hospital management needs to know the list of employees working in the Cardiology department (department D4). 

Enhanced question: ""In the Hospital patient management system, where should new doctor Dr. Smith (employee E8), who specializes in cardiology, be assigned? Provide the list of employees who are currently working in the Cardiology department (department D4).",Remember
Give an example of using statistical methods to analyze social trends.,Analyze
What is COCOMO II?,Remember
"You are leading a team of software engineers in developing a cutting-edge virtual reality (VR) application for immersive training simulations. Create a comprehensive project roadmap outlining the software development lifecycle, including requirements gathering, design, implementation, testing, and deployment phases, along with milestones and deliverables.",Create
List five endangered animal species.,Remember
"Evaluate the effectiveness of different natural language processing (NLP) techniques (e.g., tokenization, named entity recognition, sentiment analysis) in text classification tasks.",Remember
"Judge the efficiency of green infrastructure solutions (e.g., green roofs, permeable pavements) in managing urban stormwater.",Evaluate
Tell me about a place you've always wanted to visit and why.,Understand
Predict the consequences of raising the minimum wage.,Understand
Describe in your own words what is meant by a sprained ankle.,Remember
Critically analyze the challenges and opportunities of implementing Internet of Things (IoT) technologies in smart home environments.,Analyze
"Question:
Discuss the importance of security policy and access controls in a database management system. Provide a real-world scenario from a banking system where implementing a security policy is crucial. Explain the concepts of discretionary access control and mandatory access control in detail, highlighting their differences and how they contribute to data security.",Understand
"**Question:**

Explain the usage of comparison operators with SOME, ANY, and ALL in the context of a relational database management system. Provide a real-world scenario where these operators could be applied and discuss their significance.

**Scenario:**
Consider a university database system where the admissions department needs to compare the grades of students to determine scholarship eligibility.

a) Define the operators SOME and ANY in the context of SQL queries. Provide an example scenario where these operators could be utilized in the university database system.

b) Define the operator ALL in the context of SQL queries. Explain how it differs from SOME and ANY. Provide an example scenario from the university database system where the ALL operator could be beneficial.

c) Compare and contrast the functionalities of SOME, ANY, and ALL operators in SQL queries. Discuss the implications of using these operators in database management systems.",Remember
Critique the usability of a telecommunication network management system and propose improvements based on user feedback.,Apply
Determine the concentration of a substance using spectrophotometry.,Understand
Write an essay on the importance of comparative genomics. ,Understand
"Define and explain the concept of a ternary relationship in the context of an Entity-Relationship (ER) model. Provide a real-world scenario where a ternary relationship would be appropriate in a university database system. Discuss the circumstances under which it is preferable to use a ternary relationship over a binary relationship. Include the ternary relationship along with one or more binary relationships, if they convey distinct meanings and are all necessary.",Remember
Consider you're designing a user interface (UI) for a mobile application. Describe the principles of responsive design and user experience (UX) optimization you would apply to ensure compatibility across different devices and screen sizes.,Understand
Compare and contrast different techniques for feature selection in machine learning models and analyze their impact on model interpretability.,Analyze
Analyze the ethical considerations surrounding the use of predictive analytics in credit scoring and loan approval processes.,Apply
How can you use your understanding of cultural anthropology to interpret rituals in a new society?,Apply
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Understand
"Just-in-time (JIT) attempts to remove delays, which do not add value. Explain how JIT copes with weather and its impact on crop harvest and transportation times. ",Understand
"**Question:**

Explain the process of exporting data from an Excel file to a SQL server database. Provide a step-by-step guide on how to achieve this task.

**Scenario:**
Imagine you are working as a data analyst at a university, and you have been tasked with transferring student enrollment data from an Excel file to the university's SQL server database for further analysis.

**Answer:**  
a) Step 1: Log in to the SQL server.  
b) Step 2: Right-click on the database name and select the ""export data"" sub-menu from the task menu.  
c) Step 3: Click ""Next"" in the welcome screen that appears to proceed with the data export process.",Remember
Foundation design is required the study and examination of multiple components which is a highly specialized the function and usually is performed by a structural engineer. Inspect the components which have to include in the designing of a building foundation. ,Create
Barbie Dolls have been banned in some of countries. Provide FOUR (4) countries and evaluate the reason behind the ban. ,Evaluate
How does...compare/contrast with...?,Analyze
"Explain the double meaning the author attributes to the term ""successive action descriptions""",Understand
Cyrus claimed that placentomes could be observed using a transabdominal probe to scan both pregnant sow and doe on day-20 of gestation. Justify whether his claim is true or false. ,Evaluate
"Consider you're upgrading the network infrastructure for a multinational corporation. Describe the process of migrating from IPv4 to IPv6 addressing scheme, including addressing allocation, subnetting, and transition mechanisms.",Understand
A 75 mm diameter solid shaft is supported on end bearing 4 m apart.,Understand
Demonstrate the principle of Spot Welding process in brief.,Apply
"Question:
Discuss the integrity constraints covered in today's lecture. Provide a real-world scenario from a university database where these constraints would be applicable. Exchange your summary with a peer for correction. Evaluate your understanding of each constraint in the context of the scenario provided.",Evaluate
List and explain the FOUR (4) considerations when selecting a basement wall. ,Remember
The water surface levels of two reservoirs differ by 12 m.,Understand
Determine the next number in a sequence,Understand
Explain THREE (3) data collection challenges in advertising research.,Understand
Recall a specific childhood memory that brings you joy.,Remember
"In the context of database management systems, discuss the transition from conceptual database design to logical database design, including the selection of a DBMS and conversion of the conceptual design into a database schema. 

a) Explain the significance of selecting a DBMS for implementing a database design and the process involved in converting a conceptual database design into a database schema within the chosen DBMS.

b) Prior to 1970, database systems primarily utilized the hierarchical and network data models. Compare and contrast these older data models with the relational model introduced by Codd in 1970.

c) Provide real-world examples of how the relational model has influenced modern DBMS products, citing its advantages over the hierarchical and network models.",Understand
Compare and contrast various cryptographic algorithms for securing communications over the Internet and assess their resistance to attacks.,Analyze
"In the context of database management systems, discuss the importance of requirement analysis. Consider aspects such as determining the data to be stored in the database, identifying the applications to be built, and specifying the operations to be performed.

Provide a real-world scenario from an e-commerce platform where requirement analysis plays a crucial role in designing an effective database system. Include examples to illustrate the significance of each aspect mentioned above.",Remember
Describe the classification of dyes on the basis of chemical structure.,Understand
Define Transact-SQL local variables and explain their common usage scenarios with examples in a database management system context. Provide a real-world scenario from an e-commerce platform where the use of variables in scripts is crucial for managing and processing data efficiently.,Remember
Explain how instructional materials can facilitate the teaching and learning process. Give ONE (1) example. ,Understand
How can you generate original concepts for a product packaging redesign?,Create
Explain the reasons of using a mixed-media approach by advertisers. ,Understand
List out any SIX (6) factors to be considered when designing a layout. ,Remember
State in your own words what the author means when he says,Remember
"Discuss the principles of adversarial machine learning, explaining techniques for generating adversarial examples and defending against them.",Understand
Restate the main objectives of the educational program.,Remember
What do you mean by Industrial Automation?,Understand
You are leading the design of a renewable energy infrastructure project involving the construction of a wind farm in a rural area. Describe how you would apply structural engineering principles and wind load analysis methods to design turbine foundations and support structures capable of withstanding wind loads and vibrations.,Understand
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Understand
Devise a system for automatically analyzing network traffic patterns to detect and prevent insider threats and unauthorized access in organizational networks.,Understand
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Apply
The average rate of inflow during 12 months for a river are as under,Understand
Convert the following expression from Infix to Postfix expression.,Understand
Invent a machine to do a specific task.,Create
"Question:
Consider the following scenario in a university database setting:

A senior Database Administrator (DBA) is responsible for creating databases and managing logins for junior DBAs who oversee specific databases. The senior DBA has created a login named ""namali"" with the password 'namali@123' and the default database set to ""Inventory."" Additionally, the senior DBA is tasked with creating logins for other roles within the database system. Subsequently, a user account needs to be created for the login ""namali"" to grant appropriate permissions at the database level.

Explain the process involved in creating logins and users in a database management system, considering the scenario provided.",Remember
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analyze
Explain the process of chemical bonding.,Understand
Differentiate the following functions using the quotient rule,Analyze
List and explain the different metrics in the process and project domain.,Remember
Define four types of traceability,Remember
"Compare the structural behavior of different materials (e.g., metals, polymers, ceramics) under static and dynamic loading conditions, considering factors such as elasticity and damping.",Analyze
"Question: 
Consider a university database scenario where courses are offered to multiple specializations. 

a) Find the course IDs and names of modules offered in year 2 semester 1 that are available to more than one specialization. 
b) Explain the SQL query you would use to retrieve this information.",Remember
Demonstrate the correct usage of the scientific method in interpreting experimental results.,Apply
"Question:
Explain the process of executing queries using the Statement object in a database management system. Provide a real-world scenario from an e-commerce platform where this process would be applicable. Include the three execute methods available in a Statement object and their respective functionalities.",Remember
Define the functions of Type Checking and Limit Checking in protection.,Remember
"A telecommunications provider is evaluating the performance of wireless communication systems for rural connectivity. Critically analyze the coverage, bandwidth, and reliability of wireless networks, including 4G LTE and satellite broadband. Propose network optimization techniques and rural broadband deployment strategies to bridge the digital divide and improve internet access in underserved areas.",Analyze
"Evaluate the performance of different pavement materials (e.g., asphalt, concrete, gravel) in terms of durability and resistance to traffic-induced wear and tear.",Evaluate
Define equivalent evaporation and boiler efficiency.,Remember
"Question:
Consider a scenario where a university database system is being designed to manage student information. Discuss the concept of normalization in the context of relational databases. Provide examples to illustrate the different normal forms.",Create
Explain in brief procedure of setting out of a building on ground.,Understand
"Explain the concept of regularization techniques in machine learning, discussing their role in preventing overfitting.",Understand
How would you decide about...?,Understand
How interrupts are handled in protection mode.,Understand
Define the chemical interaction indicated by the arrows. Identify the binding region of an antigen on the antibody structure.,Remember
Recommend a healthy diet plan for weight loss.,Understand
A 250 V DC shunt motor runs at 1000 rpm at no load and takes 8 A.,Understand
"Explain the concept of security in SQL Server, including authentication and authorization processes. Provide a real-world scenario from a university database where these concepts are crucial. Additionally, describe the steps involved in authentication and authorization within a SQL Server instance.",Understand
Explain in your own words what do you mean by the term economics?,Understand
Judge the winner of the art competition.,Evaluate
Can you predict the outcome of a technological innovation based on current trends?,Understand
Can you see a possible solution to . . .?,Understand
Critique the accuracy of a natural language processing (NLP) model for sentiment analysis in customer feedback analysis.,Evaluate
Restate the key findings of the archaeological study.,Remember
Write a short note on concept of PLA and PAL.,Understand
What do you mean by equality of sets.,Understand
Can you tell me how to create a simple origami figure?,Create
A Rankine cycle operates between pressure of 80 bar and 0.,Understand
"Define and explain the concept of ISA Mapping in database management systems. Provide a real-world scenario where ISA Mapping could be applied, and give examples to illustrate your explanation.",Remember
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Remember
What strategies can you use to identify redundant information in a complex marketing strategy?,Remember
"Imagine you are overseeing the construction of a sustainable housing development aiming for net-zero energy consumption. Discuss how you would apply building information modeling (BIM) technology and energy-efficient design strategies to optimize building orientation, insulation, HVAC systems, and renewable energy integration to achieve energy neutrality.",Apply
Examine the data to identify patterns and trends.,Remember
"Question:
Consider a scenario where a university maintains a database to manage student information. Explain the concept of normalization in the context of relational databases. Provide examples to illustrate the different normal forms.",Understand
"Suppose you're conducting thermal stress analysis in a composite material structure. Describe how you would account for material properties, thermal gradients, and coefficient of thermal expansion to predict deformation and failure under thermal loading.",Understand
Apply principles of law to solve a legal case.,Apply
Discuss why the fertility program for potted plants is different from field crops. ,Understand
Assess the effectiveness of flood mitigation measures in reducing the risk of urban flooding in coastal cities.,Evaluate
"Evaluate the differences between the common, facing and engineering bricks in characteristics and use. ",Apply
"Question:
Discuss the importance of security policy and access controls in a Database Management System (DBMS). Provide a real-world scenario from a hospital system where implementing a security policy is crucial for protecting sensitive patient information. Explain the concepts of discretionary access control and mandatory access control in the context of database security.",Understand
Recommend techniques for enhancing public speaking skills.,Understand
"Question:
Discuss the integrity constraints covered in today's lecture. Provide examples from a university database scenario to illustrate each constraint. Exchange your responses with a peer for correction. Evaluate your understanding of each constraint.",Evaluate
"Scenario: You are tasked with securing the database of a Hospital patient management system to ensure the confidentiality and integrity of sensitive patient information. 

Enhanced question: ""Considering the sensitive nature of patient data in a Hospital patient management system, discuss the three main aspects that should be prioritized to enhance the security of the database and safeguard patient confidentiality and integrity.",Understand
What is RTD?,Remember
In order to reduce the international competition to protect some major sector of the economy. List and explain THREE (3) instruments that can use to protect our domestic industries. ,Remember
Write a short note on Claisen rearrangement.,Understand
Measure the impact of influencer marketing on brand awareness.,Understand
What are five different types of musical instruments?,Understand
"Question:
Consider a scenario where a university accommodation office needs to calculate the total bill amount for a student's booking. Create a SQL function that calculates the total bill amount for a given student's booking. Ensure the function takes into account all relevant charges and discounts. Provide the SQL function syntax and explain the logic behind the calculation process.",Understand
What is the correct order of the stages in the cell cycle?,Remember
State any 4 use of single phase induction motor?,Remember
Compare Forward Chaining and Backward Chaining.,Analyze
A 250 V DC Shunt motor takes a current of 6 Ampere and runs at 1200 rpm. The armature resistance is 0.05 Ohm and shunt filed resistance is250 Ohm. Determine the speed of motor when it is loaded and taking acurrent of 31 Ampere.,Understand
Why dont you devise your own way to deal with . . .?,Understand
Select the appropriate variables for a chi-square test.,Understand
What is the methodology for conducting a controlled experiment?,Remember
The Connective tissue connects and supports the entire human body.,Understand
"A healthcare provider is assessing the interoperability of medical devices and electronic health records (EHR) systems for seamless patient care. Evaluate the compatibility of medical device interfaces with EHR platforms, including data standards, communication protocols, and data integrity mechanisms. Propose integration solutions and interoperability standards to improve care coordination and patient safety.",Evaluate
Briefly explain how aggregation processes could improve the water quality in a water treatment plant. ,Understand
Tabulate the population growth in a particular city over the last decade.,Understand
"Question:
Explain the purpose and usage of the HAVING clause in SQL. Provide a real-world scenario where the HAVING clause can be applied and demonstrate its functionality with an example query.

Scenario:
In a university database system, the registrar's office wants to identify courses that have more than a certain number of enrolled students for monitoring purposes.

Example Query:
Using the university database, write an SQL query to find courses that are followed by more than two students. Include the course ID (CID) and the count of students (SID) for each course.",Remember
"Differentiate between stack and heap memory allocation mechanisms in programming languages, explaining their implications on program performance.",Understand
Give THREE (3) examples of common uses of standby letter of credit. ,Apply
In an I.,Understand
Design a framework for implementing federated learning techniques in healthcare systems to enable collaborative model training without sharing sensitive data.,Create
The life time of a certain component has a normal distribution with mean of 400 hours and standard deviation of 50 hours.,Understand
Explain the properties of instantaneous centre of rotation.,Understand
Compare historical events to contemporary situations,Analyze
Find the Laplace Transform of periodic wave given below.,Understand
What is mean by composites?,Remember
Explain Sensitization and Weld Decay.,Understand
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",Remember
Explore five aspects of protection applied in segmentation.,Understand
"Scenario: University/SLIIT student enrollment system

Enhanced question: In the context of a University/SLIIT student enrollment system, consider a scenario where a stored procedure named 'insertvalues' is used to add new student records to the database. A CallableStatement is utilized in the code segment provided to execute this stored procedure. Explain when CallableStatements are typically used in such a system and how they facilitate the process of inserting student information into the database.",Remember
A 2m long column has a circular cross section of 6cm diameter.,Understand
Conclude the impact of online shopping on brick-and-mortar stores.,Understand
Explain the term Path Generation.,Understand
Demonstrate the steps of a chemical synthesis through a virtual lab simulation.,Apply
In the circuit shown in fig.,Understand
The internal and external diameter of the impeller of a centrifugal pump are 200 mm and 400 mm respectively.,Understand
Explain the factors affecting Compaction of soil.,Understand
Compare Zener breakdown with avalanche breakdown in a pn junction and state THREE differences. Name a device that utilizes each breakdown mode. ,Remember
"Compare the efficiency of different propulsion systems (e.g., piston engine, gas turbine, electric motor) in aircraft and automotive applications.",Analyze
"Find the bilinear transformation which maps the points 0,1,2 from z plane on to the points 1, 1 2, 1 3 of the W - plane.",Understand
What are the main features of ARM7 architecture?,Understand
Define and explain reinvestment risk with an example. ,Remember
"STEP 2: REGISTERING DATABASE DRIVERS In order to use a driver, it should be registered in the program. The most common approach to register a driver is to use Java's Class.forName() method, to dynamically load the driver's class file into memory, which automatically registers it. Ex : Class.forName(""sun.jdbc.odbc.JdbcOdbcDriver"").newInstance();",Remember
How the air conditioning systems are classified and explain the summer air conditioning system with neat sketch.,Understand
Devise a method for implementing end-to-end encryption in messaging applications to ensure confidentiality and integrity of communications.,Understand
Solve the physics problem involving circular motion.,Apply
Determine the z parameters for the circuit shown in Fig.,Understand
"University/SLIIT student enrollment system:
Imagine you are the database administrator for SLIIT, a leading university. As the enrollment period approaches, you need to ensure the safety and integrity of student data. In this context, explain the concept of a `Full Backup' in the context of the university's student enrollment system.",Understand
Propose TWO (2) strategies to resist persuasion. ,Create
A steel rod 6m long and 30 mm diameter is used as a column. One end is fixed and other is free. Determine the crippling load by Eulerâs formula.Take E = 200 GPa.,Apply
"You are designing a satellite communication system for providing broadband internet access to remote communities. Compare the features and performance of different satellite constellations (e.g., geostationary orbit, low Earth orbit, medium Earth orbit) in terms of coverage area and latency.",Analyze
What factors do you consider when making a decision?,Understand
Can you generalize from historical urban planning to predict future trends in city development?,Create
Propose and justify strategies for optimizing the efficiency of solar thermal power plants and evaluate their impact on energy production.,Evaluate
"Question: 
In the context of a hotel booking system, consider the following scenario:

A hotel manager wants to analyze guest spending patterns. Find the total amount spent by guests with the last name 'Smith' on their bookings.

Please write an SQL query to retrieve this information.",Remember
Assess the value of behaviorist theories in understanding learning.,Evaluate
A pipe of diameter 300 mm and length 3500 m is used for transmission of power by water.,Apply
What is meant by system calls in operating system?,Remember
Determine the doping levels in the respective regions.,Understand
Apply the principles of engineering to solve this structural problem.,Apply
"Question:
Explain the usage of the BETWEEN operator in SQL for checking attribute values within a specified range. Provide an example scenario where the BETWEEN operator can be applied in a real-world database context. 

a) Define the BETWEEN operator in SQL and describe its functionality.
b) Using the given example data, demonstrate how the BETWEEN operator can be used to retrieve information from a student database based on a GPA range.
c) Discuss the significance of using the BETWEEN operator compared to other conditional operators in SQL.",Remember
Design a practical Integrator with input Signal of 1.,Create
Outline the key factors influencing climate patterns.,Understand
How would you develop a mobile app for task management?,Create
Give types of evaporators and write on Calendria type evaporator with neat sketch.,Understand
What is back emf in DC motor? State its significance?,Remember
Evaluate by Gaun divergence theorem333.,Evaluate
Explain the process of registering database drivers in a Java program. Provide a real-world scenario where this process would be applicable and describe the steps involved in registering a driver using Java's Class.forName() method.,Remember
Describe the effect of compaction on properties of soil.,Understand
